PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,7,Needs dark mode ASAP!,2025-03-26 10:00:59,131,18,"#design,#AI",0.4
102,4,Worst experience ever.,2025-03-24 03:00:59,127,30,"#social,#design,#AI",0.7
103,8,Loving the new update!,2025-03-24 00:00:59,93,46,"#tech,#AI,#bug",-0.42
104,2,Such a smooth interface!,2025-03-26 11:00:59,102,2,#tech,-0.5
105,6,Absolutely love the UX!,2025-03-23 21:00:59,104,18,"#mood,#cleanUI",-0.91
106,7,Can’t stop using it!,2025-03-20 00:00:59,122,11,#love,-0.11
107,8,Can’t stop using it!,2025-03-23 13:00:59,139,20,"#UX,#love",-0.34
108,5,Just another day...,2025-03-27 02:00:59,115,8,"#social,#UX,#bug",0.68
109,10,I’m impressed with the speed.,2025-03-20 09:00:59,146,33,"#design,#love,#tech",0.48
110,7,This app keeps crashing. So annoying.,2025-03-24 20:00:59,38,43,"#mood,#UX,#fail",-0.88
111,8,Such a smooth interface!,2025-03-25 01:00:59,50,40,#social,-0.8
112,8,Can’t stop using it!,2025-03-25 15:00:59,25,22,"#UX,#design",0.55
113,4,This app keeps crashing. So annoying.,2025-03-19 14:00:59,86,13,"#bug,#cleanUI,#social",-0.07
114,2,Can’t stop using it!,2025-03-21 05:00:59,105,4,"#cleanUI,#social",0.46
115,9,This app keeps crashing. So annoying.,2025-03-25 10:00:59,93,18,"#UX,#love,#mood",0.54
116,8,This app keeps crashing. So annoying.,2025-03-19 12:00:59,86,40,#mood,0.96
117,9,Needs dark mode ASAP!,2025-03-27 16:00:59,115,26,#social,0.08
118,5,Absolutely love the UX!,2025-03-19 06:00:59,13,29,"#UX,#mood",-0.73
119,2,Loving the new update!,2025-03-21 22:00:59,26,1,"#UX,#design,#mood",-0.74
120,10,Can’t stop using it!,2025-03-21 18:00:59,37,14,"#cleanUI,#UX,#mood",0.13
121,8,Just another day...,2025-03-20 03:00:59,2,6,"#tech,#love,#bug",0.19
122,4,Absolutely love the UX!,2025-03-27 04:00:59,1,29,#mood,-0.69
123,6,Loving the new update!,2025-03-26 11:00:59,134,27,"#AI,#cleanUI,#design",-0.33
124,3,Needs dark mode ASAP!,2025-03-21 11:00:59,43,31,#love,-0.2
125,5,Just another day...,2025-03-20 18:00:59,30,40,"#bug,#love",0.95
126,9,This app keeps crashing. So annoying.,2025-03-24 01:00:59,61,23,"#bug,#cleanUI,#fail",-0.99
127,8,Worst experience ever.,2025-03-20 19:00:59,73,34,#fail,-0.72
128,1,Great performance on mobile.,2025-03-26 13:00:59,129,38,"#design,#cleanUI",0.8
129,9,Just another day...,2025-03-27 09:00:59,13,29,"#tech,#love,#cleanUI",-0.14
130,7,I’m impressed with the speed.,2025-03-23 22:00:59,65,8,#fail,0.39
131,7,This app keeps crashing. So annoying.,2025-03-23 07:00:59,101,9,"#bug,#love,#mood",0.43
132,1,Loving the new update!,2025-03-26 00:00:59,104,48,#AI,0.14
133,8,Loving the new update!,2025-03-26 22:00:59,131,46,"#AI,#UX",-0.65
134,2,I’m impressed with the speed.,2025-03-22 18:00:59,131,41,#mood,0.46
135,8,This app keeps crashing. So annoying.,2025-03-18 01:00:59,141,39,"#cleanUI,#design",0.64
136,9,Needs dark mode ASAP!,2025-03-26 00:00:59,14,29,"#cleanUI,#AI",-0.52
137,3,Great performance on mobile.,2025-03-26 03:00:59,110,44,#AI,-0.37
138,6,Such a smooth interface!,2025-03-19 00:00:59,39,10,#fail,0.11
139,10,I’m impressed with the speed.,2025-03-26 18:00:59,6,0,"#fail,#bug,#AI",-0.94
140,3,Absolutely love the UX!,2025-03-21 01:00:59,8,13,#mood,-0.97
141,3,This app keeps crashing. So annoying.,2025-03-23 18:00:59,31,18,#social,-0.63
142,1,Needs dark mode ASAP!,2025-03-24 12:00:59,56,27,"#AI,#bug,#love",-0.06
143,5,Great performance on mobile.,2025-03-24 06:00:59,133,19,"#fail,#design",-0.42
144,5,I’m impressed with the speed.,2025-03-23 14:00:59,109,1,"#bug,#love",-0.49
145,5,Just another day...,2025-03-20 19:00:59,130,17,"#UX,#cleanUI",-0.08
146,3,Great performance on mobile.,2025-03-27 10:00:59,141,21,#cleanUI,-0.56
147,8,Loving the new update!,2025-03-21 12:00:59,95,21,"#fail,#cleanUI,#UX",0.54
148,6,Just another day...,2025-03-19 13:00:59,139,7,#cleanUI,0.31
149,4,Loving the new update!,2025-03-21 22:00:59,55,0,"#bug,#AI,#fail",0.39
150,2,Absolutely love the UX!,2025-03-26 17:00:59,90,23,"#fail,#social",-0.74
151,6,Loving the new update!,2025-03-24 06:00:59,128,19,"#tech,#fail,#social",-0.15
152,10,This app keeps crashing. So annoying.,2025-03-27 14:00:59,145,11,#AI,-0.9
153,6,Needs dark mode ASAP!,2025-03-23 19:00:59,56,44,"#mood,#love,#AI",-0.65
154,6,Worst experience ever.,2025-03-24 09:00:59,22,36,"#design,#tech",-0.18
155,2,Loving the new update!,2025-03-19 21:00:59,103,11,"#fail,#social,#bug",-0.07
156,9,Worst experience ever.,2025-03-25 21:00:59,2,45,"#bug,#UX",-0.8
157,6,Worst experience ever.,2025-03-19 13:00:59,31,24,#love,0.69
158,10,Such a smooth interface!,2025-03-18 18:00:59,2,46,"#bug,#mood",0.95
159,1,Can’t stop using it!,2025-03-23 02:00:59,38,38,"#bug,#cleanUI,#AI",-0.23
160,4,This app keeps crashing. So annoying.,2025-03-19 15:00:59,133,13,"#AI,#love",-0.46
161,2,Loving the new update!,2025-03-25 08:00:59,53,10,"#bug,#design",-0.01
162,6,Loving the new update!,2025-03-21 13:00:59,14,38,"#tech,#love",-0.53
163,7,Great performance on mobile.,2025-03-27 01:00:59,21,47,"#cleanUI,#social,#mood",-0.2
164,8,Loving the new update!,2025-03-23 02:00:59,44,0,"#social,#fail,#love",-0.94
165,7,Needs dark mode ASAP!,2025-03-26 17:00:59,0,20,"#cleanUI,#mood,#design",0.39
166,6,Such a smooth interface!,2025-03-19 08:00:59,116,2,"#fail,#tech,#UX",0.06
167,8,Absolutely love the UX!,2025-03-24 01:00:59,46,31,#cleanUI,0.99
168,10,I’m impressed with the speed.,2025-03-17 22:00:59,33,8,"#social,#love",0.27
169,9,Great performance on mobile.,2025-03-25 16:00:59,23,8,#cleanUI,-0.25
170,6,I’m impressed with the speed.,2025-03-23 06:00:59,51,19,#tech,0.98
171,8,Great performance on mobile.,2025-03-20 18:00:59,94,5,#tech,-0.68
172,6,Can’t stop using it!,2025-03-22 03:00:59,113,8,"#UX,#bug",-0.72
173,7,Worst experience ever.,2025-03-20 01:00:59,120,22,"#mood,#cleanUI,#design",-0.29
174,5,Worst experience ever.,2025-03-20 12:00:59,125,17,#fail,0.11
175,3,I’m impressed with the speed.,2025-03-19 09:00:59,79,6,"#design,#tech,#mood",0.66
176,6,Just another day...,2025-03-25 00:00:59,36,47,"#tech,#social",-0.36
177,5,Great performance on mobile.,2025-03-18 12:00:59,27,41,#fail,0.39
178,5,Worst experience ever.,2025-03-18 14:00:59,99,38,"#social,#cleanUI,#love",0.56
179,9,I’m impressed with the speed.,2025-03-24 18:00:59,8,29,"#UX,#tech",0.11
180,2,Needs dark mode ASAP!,2025-03-19 04:00:59,106,4,"#AI,#mood,#cleanUI",-0.28
181,7,This app keeps crashing. So annoying.,2025-03-25 13:00:59,101,27,#bug,0.26
182,9,Can’t stop using it!,2025-03-27 06:00:59,85,34,#design,0.68
183,6,Worst experience ever.,2025-03-23 04:00:59,37,45,#design,-0.14
184,3,I’m impressed with the speed.,2025-03-21 02:00:59,45,26,"#tech,#fail,#cleanUI",0.74
185,2,This app keeps crashing. So annoying.,2025-03-23 19:00:59,86,39,#UX,0.34
186,1,Can’t stop using it!,2025-03-26 22:00:59,126,15,"#social,#fail,#bug",0.58
187,7,Worst experience ever.,2025-03-24 16:00:59,110,13,"#bug,#love",0.27
188,7,This app keeps crashing. So annoying.,2025-03-18 21:00:59,49,21,#cleanUI,-0.65
189,2,Absolutely love the UX!,2025-03-26 03:00:59,93,41,"#cleanUI,#bug,#love",-0.67
190,5,This app keeps crashing. So annoying.,2025-03-20 06:00:59,88,34,"#cleanUI,#mood,#fail",0.38
191,7,Worst experience ever.,2025-03-17 22:00:59,84,22,#fail,-0.38
192,2,Can’t stop using it!,2025-03-25 05:00:59,110,32,#fail,0.0
193,8,I’m impressed with the speed.,2025-03-25 08:00:59,54,33,"#fail,#design,#UX",-0.91
194,1,Such a smooth interface!,2025-03-20 22:00:59,147,21,"#design,#mood,#tech",-0.05
195,4,Absolutely love the UX!,2025-03-18 20:00:59,30,10,#cleanUI,0.7
196,7,This app keeps crashing. So annoying.,2025-03-18 20:00:59,70,38,"#UX,#mood",-0.87
197,7,Can’t stop using it!,2025-03-27 06:00:59,136,25,"#design,#cleanUI,#social",-0.21
198,7,Great performance on mobile.,2025-03-19 18:00:59,119,45,"#UX,#tech,#design",-0.02
199,8,Loving the new update!,2025-03-18 09:00:59,90,16,"#AI,#love,#cleanUI",0.39
200,5,Loving the new update!,2025-03-21 00:00:59,24,35,"#love,#social",0.24
